pattern_id,raw_name,wrong_name,wrong_en,row_count,dish_examples,verdict,reason,row_ids
38,đậu,đậu que,green beans,17,"Canh rong xà lách thịt bằm đậu hũ (rong lục ulva) | Đậu hấp trứng, thịt băm",UNCERTAIN,"Đậu quá chung chung, có thể là đậu hũ","19122,22064,29040,30957,31541,33256,33744,34486,36526,41509,42344,43118,45115,53962,61378,62379,63136"
62,Hành tỏi băm,tỏi,garlic,13,Cá hú kho thịt ba rọi và thơm | Mực Xào Nấm Rau Củ,UNCERTAIN,"Hành tỏi băm gồm cả hành, không chỉ tỏi","22329,24576,24825,24915,25037,25188,26718,26725,26799,28459,29986,47098,53555"
68,hành tỏi băm,tỏi,garlic,12,Mướp Khía Xào Nấm Bào Ngư Chay | Canh Rau Má Tép Đất,UNCERTAIN,Hành tỏi băm chứa cả hành và tỏi,"21646,22950,23103,24428,27060,40432,48378,50805,50867,51159,54451,61209"
80,Hành tỏi,tỏi,garlic,11,Cá tầm kho tộ với quả cọ | Tôm (sắt) rang thịt,UNCERTAIN,Hành tỏi bao gồm cả hành tím và tỏi,"24586,25408,25869,27647,28444,42424,42950,43867,44108,47216,61835"
95,ớt cay,ớt xanh,green chili,9,Cá nục tròn kho chuối xanh và củ cải khô | Cá mím nấu chua,UNCERTAIN,Ớt cay có thể là ớt đỏ hoặc xanh,"9593,10730,10782,11195,15053,16188,17356,17520,17543"
99,nấm,nấm mèo,wood ear mushroom,9,Salad khế rau củ | Súp cua biển 🦀 bí ngòi nấm,UNCERTAIN,"Nấm có rất nhiều loại, không chỉ nấm mèo","23628,25807,26662,28794,31523,34159,44367,44599,62894"
131,cải,bông cải,broccoli,7,Xương heo hầm rau củ | Lẩu nấm rau củ quả chay,UNCERTAIN,"Cải có nhiều loại, không nhất thiết là bông cải","23448,30941,32622,34575,36984,41906,42971"
248,trắng,hộp đậu trắng,canned white beans,4,Cơm chiên thịt quay cá mặn | SP.0776 - Cơm Trộn Tôm Cay,UNCERTAIN,"Trắng quá chung chung, không rõ là đậu","26183,26907,40071,40697"
290,tôm tươi,tôm sú,shrimp,3,Mì xào tôm kiểu Thái | Gỏi Miến Hải Sản,UNCERTAIN,"Tôm tươi nói chung, không chắc là tôm sú","6492,17037,20301"
296,thịt bò xay,thịt vai bò,beef shoulder,3,Tacos bò băm | Pizza bò ngô,UNCERTAIN,"Thịt xay có thể làm từ nhiều phần, không chỉ vai","7947,14631,15099"
298,t,tỏi,garlic,3,Mít non kho rau răm và chao | Cá Giò Kho Cải Chua,UNCERTAIN,"T có thể là tỏi hoặc tiêu, không rõ","7972,9669,57972"
365,dầu,dầu ô liu,olive oil,3,Cá liệt kho | Cá chìa vôi nướng muối ớt,UNCERTAIN,Dầu nói chung không nhất thiết là dầu ô liu,"26622,29229,46797"
375,Dầu,dầu ô liu,olive oil,3,Cá hộp ba cô gái | KHOAI TÂY CUỘN TÔM - st mẹ Bún,UNCERTAIN,Dầu nói chung không nhất thiết là dầu ô liu,"29086,32817,39757"
433,nõn tôm,tôm thẻ loại to,shrimp,2,Hủ Tíu Xào Tôm | Hủ Tiếu Xào Nõn Tôm Trứng Cút,UNCERTAIN,"Nõn tôm là tôm bóc vỏ, chưa chắc là tôm thẻ","8013,14099"
493,cá khô,cá kình,fish,2,Cá khô nướng chấm mắm me | Cơm rang cá mặn,UNCERTAIN,Cá khô có thể làm từ nhiều loại cá,"15027,18546"
508,Hành lá rau răm thì là,thì là,dill,2,Cá song nấu canh chua | Cá trôi sốt cà chua,UNCERTAIN,"Raw chứa nhiều loại rau, mapping chỉ giữ một","17332,17512"
514,ớt sừng củ tỏi,hành tỏi ớt,garlic chili mix,2,Cá chim sốt mắm tỏi | Cá sòng chiên mắm tỏi,UNCERTAIN,Raw thiếu hành so với mapping,"18498,28151"
