rank,wrong_name,pattern_count,row_count,pct_of_total,cumulative_pct,example_raw_names,example_dishes
1,nước,78,453,14.08%,14.08%,nước tương | Nước tương | nước hầm xương | Nước chấm | nước màu,Tôm rim bơ tỏi | Cơm Chiên Gà Rau Củ | Miến xào tôm thịt
2,nước dừa,16,236,7.34%,21.42%,nước | Nước | nước cốt dừa | nước màu dừa | dừa,"Hải sản Phú Quý hấp: mực ống, cua gạo, cua mặt trăng và nhum tươi | Mỳ trộn tôm thịt sốt cà | Bánh Xèo Bò Trứng"
3,Bột (chung),20,175,5.44%,26.86%,bột nghệ | bột canh | bột ngũ vị hương | bột cà ri | Bột nghệ,Bí ngòi nhồi thịt bò bỏ lò | SP.0823 - Cá Basa Nướng Muối Sả Nghệ | Mực Trứng Hấp Gừng
4,Mè (Vừng),18,138,4.29%,31.15%,dầu mè | Dầu mè | Dầu mè thơm | dầu mè đen | thìa cafe dầu mè đen,Mì Đuôi Heo Hầm Ngũ Trân | Mì Nấu Rau Muống Tóp Mỡ | Cà tím cuộn đậu hũ hấp (món chay)
5,nước mắm,43,91,2.83%,33.98%,mắm nêm | mắm ruốc | Mắm nêm | mắm tôm | mắm ruốc Huế,Tim Heo Luộc Chấm Mắm Nêm | Cá chìa vôi nướng muối ớt | Bún Bò Quảng Nam
6,rau thơm,11,81,2.52%,36.49%,thơm | Thơm | trai thơm | vẹm xanh | Vẹm xanh,"Canh Chua Chả Cá Hố, Rau Sam, Bông Giờ | Salad ớt chuông thịt bò | Cá Đổng Nấu Ngót"
7,ớt,14,81,2.52%,39.01%,tương ớt | Tương ớt | Tỏi ớt | mắm tỏi ớt | Tỏi gừng ớt,Tôm rim bơ tỏi | Đậu bắp hấp sốt thịt bằm | Gỏi chả+heo quay
8,hành lá,45,71,2.21%,41.22%,hành khô | thịt má heo | Hành lá hành tím | Hành khô | hành phi,Canh măng mực | Lẩu tôm bầu | Cá ngừ kho củ cải khô
9,cải thảo,19,68,2.11%,43.33%,cải trắng | củ cải trắng | bắp cải trắng | cải đắng | Củ cải trắng cà rốt,Bún rau củ chay | Gỏi Cuốn Thịt Xá Xíu & Hoa Sen Cạn | HỦ TIẾU đuôi heo
10,hành tím,12,65,2.02%,45.35%,Hành phi | hành phi | Hành tím tỏi | Tỏi hành tím | củ Hành tây tím,Gỏi Ức Gà Rau Tiến Vua | Súp Sò Điệp Bong Bóng Cá | Gỏi bắp cải rau má
11,tỏi,34,65,2.02%,47.37%,bột tỏi | Hành tím tỏi | Hành tỏi khô | Tỏi ớt | hành tỏi băm nhỏ,Phi Lê Cá Lóc Áo Bột Chiên Giòn | BÒ viên | [Món Chay] Rau câu sợi xào sò điệp chay
12,cần tây,22,62,1.93%,49.30%,rau cần | Rau cần | rau cần nước | cần nước | Cần nước,"Bánh đa Quỳnh Côi xào giò, rau cần nước | Canh Cải Thảo Nấu Thịt Bằm | Canh Khoai Tây Nấu Rau Cần, Cà Chua, Thì Là"
13,tôm thẻ loại to,28,59,1.83%,51.13%,tôm càng xanh | tôm nõn | tôm bóc nõn | tôm nhỏ | tôm đất,Canh khoai tây cà rốt nấu tôm càng xanh | Lẩu ghẹ hải sản chua ngọt | Củ niễng xào tôm nõn
14,lá,32,54,1.68%,52.81%,mực lá | hanh lá | lá kim | lá cà ri | hẹ lá,Phở sắn chiên giòn sốt mực xào rau củ chua ngọt | Mực Sốt Thái | Nấm rơm kho nước tương
15,bã củ cà rốt,1,38,1.18%,53.99%,củ cà rốt,Chả giò hải sản sốt mayo | Mực xào rau củ xốt chua cay
16,măng,14,38,1.18%,55.18%,măng tây | măng tây rừng | cá măng phi lê nắng | cá măng | chả cá măng,"Nui Tóc Tiên Nấu Chả Tôm Quết & Măng Tây | Steak bò sốt phomai | 🌱 Salad Su Hào, Nấm & Măng Tây Rừng Sốt Hành Tăm"
17,dứa,19,36,1.12%,56.29%,lá dứa | nước lá dứa | Lá dứa | khô cá dứa một nắng | khô cá dứa chiên,Xôi cua | Tàu hủ nước đường làm bằng rau câu dẻo | Rau câu giòn lá dứa
18,lá me,3,33,1.03%,57.32%,me | Me | lá me đất,Canh chua chả cá chiên | Canh chua cá bông lau | Lẩu đầu cá hồi nấu măng chua
19,cơm,23,33,1.03%,58.35%,cơm mẻ | Mắm cá cơm | cá cơm than | cá cơm khô | rau dền cơm,Khế chua nấu dấm cá trắm | Giò heo giả cầy | CÁ TAI TƯỢNG chiên xù
20,Trứng gà,10,32,0.99%,59.34%,mì trứng | lòng trắng trứng | Lòng trắng trứng | Mì trứng | ường trắng,Mì trứng xào rau | Mì trứng xào tôm nõn | Bánh qui nấm
21,cua,12,31,0.96%,60.30%,rau càng cua | Rau càng cua | thanh cua | rổ rau càng cua | rau Càng Cua,Rau càng cua trộn bò trứng | Gỏi rau càng cua thịt bò | Nộm rau càng cua
22,thịt bê,1,30,0.93%,61.24%,thịt bò,Thịt Bò Xào Cà Chua Dưa Leo | Trứng Chiên Thịt Bò
23,chanh,16,30,0.93%,62.17%,lá chanh | Lá chanh | Chanh dây | nước cốt chanh dây | chanh dây,Chà bông cá thu | Bún riêu hải sản | Tôm rang chao lá chanh
