pattern_id,raw_name,wrong_name,wrong_en,row_count,dish_examples,verdict,reason,row_ids
5,hành,hành lá,green onion,79,Thịt bắp giò (đùi heo) nấu giả cầy | Cá chim kho cà chua,SAME,Hành trong món giả cầy thường là hành lá,"6627,8288,8636,8653,8863,9844,10335,10359,10729,10933,10991,11225,12828,12920,13056,13720,13941,14095,14415,15035,15756,16187,16770,17435,17437,17513,19176,19303,19454,21991,22361,22567,26700,27213,28783,29007,30193,31146,31232,32175,32799,33218,33331,33452,33512,33799,33804,34446,34650,34656,35225,35317,35789,36012,36202,36405,36836,36941,37297,37433,38118,38381,38468,38687,39060,39248,39488,40098,41334,42191,42376,43095,45343,45826,46073,46157,46173,46394,48053"
7,ớt chuông,ớt,chili pepper,50,Ớt chuông nhồi thịt sốt dầu hào | Mực mai xào ớt chuông,SAME,Ớt chuông là một loại ớt,"22132,23069,23897,24383,25068,25414,25953,27009,27175,27986,28059,28176,28245,28512,29030,29404,30243,31282,31725,32584,33199,34773,35896,37350,38092,41812,41837,43198,43239,43608,43843,43919,44100,44155,44366,44393,44452,45494,50699,50907,50922,52940,53088,53899,60411,61153,61238,61322,61532,62978"
8,tôm,tôm thẻ loại to,shrimp,42,Bánh xèo nhân tôm | Canh chua bông điên điển ngó sen nấu cùng tôm mực,SAME,Tôm là tên gọi chung cho tôm thẻ,"8933,9111,9973,10251,13111,13619,14178,16442,17270,17607,17942,18570,18836,20534,20670,23244,25036,25051,25133,25261,25383,25860,26955,27086,27267,31851,32382,33221,34079,34579,35784,35910,38519,38686,39691,40099,42005,43522,44179,45637,46022,47655"
12,sữa đặc,sữa,milk,33,Chả giò hải sản sốt mayo | TÔM sốt dứa-mayonnaise,SAME,Sữa đặc là một loại sữa,"6031,6438,7166,7474,7687,9692,9840,10087,10218,11027,11186,14764,17079,18926,19978,20898,22087,23989,28282,30571,31877,32570,33669,35375,36153,38049,39424,40582,41901,42196,42805,42977,43456"
17,mắm,nước mắm,fish sauce,28,Mực Lá Xào | Canh Khổ Qua Rừng Nhồi Chả Cá Măng,SAME,Mắm trong món xào thường chỉ nước mắm,"6259,6334,6932,8277,10375,11935,12091,12183,12498,15272,17977,18613,18798,19214,22238,26940,28602,35175,35555,40146,40269,41656,41733,42504,43524,61612,61880,62018"
19,ớt chuông đỏ,ớt,chili pepper,27,Bánh tráng cuốn thịt vịt hun khói | CÀ RY rau củ quả,SAME,Ớt chuông đỏ là một loại ớt,"21468,21530,22104,23337,26051,29068,30228,31051,33162,33551,36049,36349,36722,37585,37639,38813,39269,40365,40792,43265,45220,45566,47642,53110,59949,61737,64159"
21,bột bắp,Bột (chung),flour,27,SP.0829 - Súp Cua Ngô Vàng Tuyết Nhĩ | Chả Băm Đậu Hũ,SAME,Bột bắp là một loại bột,"21903,23294,23339,23973,24699,28138,28642,29477,30260,31721,31742,32074,32914,33051,35474,40172,41556,43473,44867,50171,51299,54373,54532,61235,62276,62963,64419"
27,dưa chuột,dưa,pickles,23,"Nộm tai heo, dưa chuột | Bánh tráng cuốn thịt vịt hun khói",SAME,Dưa chuột thuộc họ nhà dưa,"21344,21470,23667,23674,24488,29574,30911,33653,34520,35123,35826,39170,39463,40985,43599,43852,44980,46595,50072,51964,52766,53789,53995"
29,nấm đông cô tươi,nấm hương,shiitake mushroom,21,Rau Củ Xào Ngũ Sắc | Lẩu tôm bầu,SAME,Nấm đông cô và nấm hương là một,"6464,8743,9395,10264,11659,12458,17569,17889,20147,24696,28745,33684,41368,43560,43610,44362,44429,45613,50866,60857,61452"
30,Hành,hành lá,green onion,21,Thịt xay rang hành và cà rốt | Hoa chuối trộn tôm thịt,SAME,Hành trong món xào thường là hành lá,"23205,29195,29271,29514,30132,30533,32257,32745,32935,33503,33794,33815,34670,35450,37806,38000,38078,42801,43284,45370,45942"
31,nấm đông cô,nấm hương,shiitake mushroom,20,Bún rau củ chay | Tôm hùm (Lobster) tẩm bột chiên sốt nấm,SAME,Nấm đông cô và nấm hương là một,"8295,8512,11470,14506,14884,21899,25117,26436,28790,32146,34496,36651,40821,43255,45422,45866,45936,54530,54566,64415"
33,Bột bắp,Bột (chung),flour,20,Súp Tôm Tóc Tiên | Mỳ ý tôm sốt kem,SAME,Bột bắp là một loại bột,"25614,25983,26973,27630,31749,33316,33766,34777,37017,37275,38082,39592,39724,39790,40313,41305,43160,46711,47999,53085"
34,tôm tươi,tôm thẻ loại to,shrimp,19,Canh Rau Tập Tàng Nấu Tôm Tươi | Hoa Chuối Hột Trộn Tôm,SAME,Tôm tươi là trạng thái của tôm thẻ,"7151,22738,22855,23073,24894,25280,25744,25796,29133,29175,29366,30476,30774,34534,37619,38876,40151,40837,64026"
35,giò sống,giò,pork sausage,19,Canh cải nấu riêu tôm thịt | Xíu Mại Nấm Hương Nước Cà,SAME,Giò sống là một dạng giò,"7269,7468,11905,12059,12132,12175,13023,15170,15755,18867,21949,24335,25968,31521,33048,33407,37658,42904,46641"
36,ường,đường,sugar,17,Cá Chim Hấp | Gà xào nấm cải thìa,SAME,Ường là lỗi chính tả của đường,"6039,6399,7417,7961,7966,8226,8232,8818,9619,25766,25959,29699,32604,35879,37218,37485,41922"
43,cá ngừ,hộp cá ngừ,canned tuna,16,Mì Lá cuốn cá ngừ | Cháo cá ngừ 🐟 đậu bắp,SAME,Cá ngừ đóng hộp là một dạng cá ngừ,"24788,25907,26586,27297,30779,31484,32081,32873,36807,37060,37356,38772,47214,54751,61066,63956"
44,bột gạo,Bột (chung),flour,16,Bánh canh bột gạo nấu cá lóc | Bánh BÒ xốp vị chuối,SAME,Bột gạo là một loại bột,"26494,26933,28037,32789,34240,34382,35020,39580,41315,43677,47056,47946,61099,61503,62523,62793"
45,thịt vai heo,thịt nạc dăm,pork shoulder,15,Thịt vai heo sốt cà chua | Thịt Luộc Cà Pháo Mắm Nêm,SAME,Thịt vai và nạc dăm cùng vùng bộ phận,"7611,7870,9895,9902,11890,11937,12488,12741,12742,12761,12763,12786,12835,12895,12949"
46,thịt nạc vai,thịt nạc dăm,pork shoulder,15,Thịt chiên xù chấm sốt chua ngọt | Gỏi Cuốn Thịt Xá Xíu & Hoa Sen Cạn,SAME,Thịt nạc vai và nạc dăm tương đồng,"10099,10117,13038,13531,19828,34546,36359,36883,38685,41233,41535,41546,44622,53848,65143"
49,Nấm đông cô tươi,nấm hương,shiitake mushroom,14,"Soup Hạt Sen Bắp Nấm | Hạt sen, Hạt điều và Bắp xào nấm",SAME,Nấm đông cô tươi chính là nấm hương,"6070,6095,7171,8046,9158,9587,15791,39612,40565,43663,44097,50111,54489,64305"
50,thịt vai xay,thịt nạc dăm,pork shoulder,14,Trứng vịt cồ chiên thịt vai xay | Thịt xào hành tây,SAME,Thịt vai xay từ nạc vai/nạc dăm,"7614,7836,8206,9893,11077,11678,11882,11911,12736,12738,12740,12759,12788,12894"
51,thịt nạc xay,thịt nạc dăm,pork shoulder,14,Phi lê cá rô phi cuộn thịt chiên giòn | Bì cuộn thịt hấp,SAME,Thịt nạc xay thường dùng nạc dăm,"7963,9410,9605,11559,13620,13963,14670,16139,16335,17179,17213,17893,19156,19311"
52,thịt nạc vai xay,thịt nạc dăm,pork shoulder,14,Thịt băm rim mắm | Rau tầm bóp xào thịt băm,SAME,Thịt nạc vai xay là nạc dăm xay,"9261,11216,12783,12879,15740,16677,18472,22067,25082,26496,32072,36598,36925,53174"
56,Tôm,tôm thẻ loại to,shrimp,13,Phở khô xào hải sản | Tôm bỏ lò,SAME,Tôm là tên gọi chung cho tôm thẻ,"7980,14007,16841,20966,24926,25536,29097,29958,30648,32743,42287,42896,47489"
57,hành khô,hành tím,shallot,13,Canh bí đao nấu cùng thịt xay | Củ cải trắng nấu đuôi heo,SAME,Hành khô ở VN thường là hành tím,"10195,10992,11369,14026,14762,15051,16129,50474,52728,53508,56285,60359,60360"
58,giò heo,thịt heo,pork,13,Canh bí đao nấu giò heo | Bún Riêu Cua Đồng Giò Heo,SAME,Giò heo là một phần thịt heo,"21021,21159,23033,23253,23453,24042,24710,28313,31256,31429,33569,44527,60823"
63,bột chiên xù,Bột (chung),flour,13,Nem bơ hải sản | Đậu hũ non chiên xù,SAME,Bột chiên xù là một loại bột,"22796,23907,24006,25080,30909,32065,36058,37644,38407,40576,46077,53591,64095"
64,xương heo,thịt heo,pork,13,Xương heo hầm rau củ | Canh Laghim Nấu Xương Heo,SAME,Xương heo là một phần của con heo,"23446,27697,30631,36585,37724,38496,39117,39535,40174,41272,42452,44037,46404"
66,thịt gà,ức gà,chicken breast,12,Súp kem khoai tây 🥔 thịt gà rong biển | Súp kem thịt gà khoai sọ + sandwich 🍞,SAME,Ức gà là một phần của thịt gà,"12608,12822,13146,13296,13309,13332,13606,13612,14405,14851,19038,20832"
67,tóp mỡ,mỡ,lard,12,Mì gói xào rau muống tóp mỡ | Bún Riêu Cua Đồng Giò Heo,SAME,Tóp mỡ được làm từ mỡ heo,"20877,21164,21219,22145,22483,22605,22869,24408,24594,24888,29171,60710"
71,ớt chuông xanh,ớt,chili pepper,12,Tôm xào ớt chuông | Phi lê cá điêu hồng sốt chua ngọt,SAME,Ớt chuông xanh là một loại ớt,"23562,24296,24301,31227,33466,39278,40486,42729,45334,53881,58565,62937"
73,nguội,thịt nguội,ham,11,Cơm chiên lạp xưởng rau củ | Bánh đúc thịt làm từ cơm nguội,SAME,Nguội ở đây là cách gọi tắt thịt nguội,"6035,10153,15584,27639,28708,30402,32487,43194,46647,50944,61032"
74,thịt đùi,thịt đùi,chicken thigh,11,Thịt heo rang húng quế | Thịt đùi heo lăn bột chiên giòn,SAME,Hai tên gọi hoàn toàn giống nhau,"6500,6502,6629,12997,13005,15920,16021,20286,26234,27232,45926"
75,bột bắp,bột ngô,cornstarch,11,Gỏi rau má trộn bò | Há Cảo Nhân Thịt,SAME,Bột bắp và bột ngô là một,"6808,8767,9778,10077,10562,12658,13173,15702,15794,19490,20430"
76,thịt bò thăn,nạc thăn,pork tenderloin,11,KHOAI TÂY xào thịt bò | Bò Hấp Tía Tô,SAME,Thịt bò thăn là loại nạc thăn,"6912,7292,7505,10015,12582,12641,14226,14925,15402,17458,19807"
83,Sữa đặc,sữa,milk,10,Thịt Hầm Ngon Như Thịt Hộp | Tôm bỏ lò,SAME,Sữa đặc là một loại sữa,"6487,14021,14248,22760,26917,32106,33322,34438,34850,41977"
84,cần tàu,cần tây,celery,10,Canh Cá Cơm Trỏng Nấu Ngót | Canh Cá Chỉ Vàng Nấu Ngót,SAME,Cần tàu là tên gọi khác của cần tây,"7533,10220,15627,17742,22214,24601,27194,31737,34790,41439"
87,củ hành khô,Hành,Scallion,10,Mỳ gạo lứt trộn sốt cà tóp mỡ thịt băm | Bánh Đa Xào Lòng Gà Với Măng Và Nấm Hương,SAME,Củ hành khô là một loại hành,"21062,21194,21424,21570,21670,37447,52948,53194,61111,61518"
88,Sốt teriyaki,sốt,sauce,10,Cá hồi sốt teriyaki và măng tây | Cà Tím Cà Rốt Đậu Hũ Sốt Teriyaki,SAME,Sốt teriyaki là một loại sốt,"22971,23125,27636,32824,34042,35265,37352,39445,39852,44494"
89,ớt sừng,ớt,chili pepper,10,Cá Bè Đen Hấp Xì Dầu | Cá Thu Chiên Sốt Mắm Tỏi Ớt,SAME,Ớt sừng là một loại ớt,"26507,26943,27872,30478,32739,35016,40026,43972,44116,61485"
90,gan heo,thịt heo,pork,10,Gan heo xào hành tây | Gan heo xào thơm (dứa),SAME,Gan heo là nội tạng từ con heo,"27118,27197,27214,27221,27228,27241,27273,27307,33267,45627"
93,bơ,bơ,butter,9,Salad cá ngừ trái bơ | Cá hồi tartare,SAME,Hai tên gọi hoàn toàn giống nhau,"7320,9676,17385,17578,19147,26140,29619,37838,38657"
94,lòng đỏ trứng,Trứng gà,Chicken Egg,9,"Tôm chiên | Salad ổi, tôm khô sốt dâu tằm",SAME,Lòng đỏ là thành phần của trứng gà,"8608,12005,21143,39750,40459,47695,49971,63691,64155"
96,bạc hà,bạc hà,mint,9,Cá bớp nấu canh chua | Canh chua chả cá chiên,SAME,Hai tên gọi hoàn toàn giống nhau,"18451,21359,22310,23901,25787,26261,26957,32310,46756"
98,mắm tôm,Tôm muối,Salted shrimp,9,Bún Riêu Cua Đồng Giò Heo | Thịt Luộc Mắm Tôm,SAME,Mắm tôm làm từ tôm muối,"21171,26371,26922,26947,27002,27080,30111,30681,33615"
101,Sốt mayonaise,sốt,sauce,9,Tuỷ Bò Chiên Giòn | Rau củ chiên xù và salad rau củ,SAME,Sốt mayonnaise thuộc nhóm sốt,"28029,36059,36357,37666,37800,42930,52139,61786,62637"
103,Bột canh,Bột (chung),flour,9,Thịt rang dừa | Cá chim nướng mỡ hành,SAME,Bột canh là một loại bột gia vị chung,"30054,31063,33437,33788,35607,35815,39032,40164,42338"
105,dầu mè,dầu vừng,sesame oil,8,Há Cảo Nhân Thịt | Chả Thịt Băm Trứng Muối Cá Hộp,SAME,Dầu mè và dầu vừng là một,"8766,9266,9613,11133,13914,15133,15237,17743"
106,cá chỉ vàng,Cá chỉ vàng khô,Dried Yellowstripe Scad,8,Cá Chỉ Nộm | Canh Cá Chỉ Vàng Nấu Ngót,SAME,Cá chỉ vàng thường dùng dạng khô trong món nộm,"9163,10219,22507,27733,39850,39869,40385,40387"
108,thịt xay,Thịt băm,Minced pork,8,Canh nấm đùi gà và bông cải nấu thịt xay | Thịt xay chả cá rang mắm ruốc,SAME,Thịt xay và thịt băm có công dụng tương đương,"9951,14988,15302,18266,19435,21920,36364,65129"
112,Dầu olive,ô liu,olive,8,Phi lê cá lóc sốt teriyaki | Ratatouille Món Rau Củ Hầm Trứ Danh Nước Pháp,SAME,Dầu olive chiết xuất từ quả ô liu,"26346,33200,36453,37232,40019,40138,45384,46732"
113,ớt bột,ớt,chili pepper,8,Cá Hố Kho Ớt Bột | Cá lăng kho nghệ,SAME,Ớt bột là ớt phơi khô xay mịn,"26465,28257,29597,29762,31418,32662,34086,37672"
117,củ hành,hành tím,shallot,7,Măng xào nấm | Cà pháo xào thịt lợn lá lốt,SAME,Củ hành trong nấu ăn thường chỉ hành tím,"6172,11435,14448,20089,20106,20145,39154"
118,thơm,dứa,pineapple,7,Canh cá sơn thóc nấu ngọt | Cá cơm rim thịt và thơm,SAME,Thơm và dứa là hai tên gọi vùng miền,"6174,7497,9611,11487,13139,15513,18923"
119,Nấm đông cô,nấm hương,shiitake mushroom,7,Cá Chẽm Hấp Song Nhĩ | Miến dong Eatclean hầm xương nấm tuyết,SAME,Nấm đông cô và nấm hương là một,"6207,8061,14492,24570,35937,38143,42402"
120,thịt đùi heo,thịt đùi,chicken thigh,7,"Thịt bắp giò và móng giò kho quế, hoa hồi, thảo quả | Chà Bông Heo (Ruốc) Bằng Máy Làm Mochi",SAME,Thịt đùi heo là thịt đùi,"6574,6741,7837,8462,15512,17987,19423"
122,nước cốt dừa,nước cốt,extract,7,Cà Ri Cá Chim | SP.0988 - Bánh Canh Tôm Thịt Miền Tây,SAME,Nước cốt dừa là một loại nước cốt,"8803,9459,14768,15842,16313,17807,19917"
124,súp lơ,bông cải,broccoli,7,Mì xào thịt thăn súp lơ | Cháo thịt gà nấm súp lơ 🥦,SAME,Súp lơ và bông cải là một,"10440,13634,13678,26013,31054,32167,40107"
125,nguội,cơm,cooked rice,7,"Cơm chiên thịt bò xào | Cơm Cá Hồi, Súp Lơ Đút Lò",SAME,Cơm nguội dùng làm cơm chiên,"10926,20186,21760,32655,41002,42529,61565"
126,bia,lon bia,beer,7,"Tôm phốc-Tôm càng biển hấp bia | Bánh xèo tôm thịt,nấm bào ngư ăn kèm rau cải xanh và rau sống",SAME,Bia và lon bia cùng là một chất lỏng,"14805,17951,21199,22728,23067,24752,29507"
127,Hành khô,hành tím,shallot,7,Bò xào đậu hà lan cà rốt | Bún hải sản mẹ Nga!,SAME,Hành khô ở Việt Nam thường là hành tím,"17189,50324,52649,55863,56188,56288,56829"
129,bột mì,Bột (chung),flour,7,Chả nấm chay | Măng Tây nướng cùng Chả cá Tuna,SAME,Bột mì thuộc nhóm bột chung,"22428,26829,29421,30017,31140,39327,48129"
138,dấm táo,dấm,vinegar,6,"Salad Táo, Rau Diếp Cừu & Hạt Óc Chó Sốt Dầu Dấm | Salad Rau Diếp Xoăn, Bắp Cải Tím & Ức Gà Áp Chảo",SAME,Dấm táo là một loại dấm,"6110,16105,18337,18896,19680,20743"
139,thịt heo rừng,thịt heo,pork,6,Thịt Heo Rừng Xào Cải Chua | Heo Rừng Nấu Tiêu Xanh,SAME,Thịt heo rừng là một loại thịt heo,"6296,6323,6331,12119,14729,41994"
144,rau ngổ,rau om,rice paddy herb,6,"Canh Chua Chả Cá Hố, Rau Sam, Bông Giờ | Canh lườn cá hồi nấu măng chua",SAME,Rau ngổ và rau om là tên gọi khác nhau,"15973,17302,17632,29756,43794,64875"
145,đuôi heo,thịt heo,pork,6,Bún đuôi heo nấm rơm | Mì Đuôi Heo Hầm Ngũ Trân,SAME,Đuôi heo là một phần của thịt heo,"20948,21091,34614,53656,54079,63878"
148,bạc hà dọc mùng,bạc hà,mint,6,Canh Chua Cá Thu Lá Me | Lẩu cá diêu hồng,SAME,Bạc hà và dọc mùng là tên gọi khác nhau,"22230,24315,43305,47709,50194,53456"
151,thịt,thịt nạc dăm,pork shoulder,6,Canh củ rau cải cúc (tần ô) | Thịt nướng giềng mẻ,SAME,Thịt trong canh thường dùng thịt nạc dăm,"22881,39287,52814,53367,60482,63101"
152,gân bò,thịt bò,beef,6,Bún bò gân chả bì đơn giản | Gân bò nấu mì Chũ,SAME,Gân bò là một phần của thịt bò,"23356,28115,30777,31089,36876,45556"
156,mì lá tươi,mì,noodles,6,Mì lá tươi nấu giò heo | Chả giò mì lá tươi cuộn thịt,SAME,Mì lá tươi là một loại mì,"24711,24716,24793,24879,24882,24929"
157,sốt teriyaki,sốt,sauce,6,Phi lê cá lóc sốt teriyaki | Lườn Cá Hồi Teriyaki Nướng Cuốn Tỏi & Tía Tô,SAME,Sốt teriyaki thuộc nhóm sốt,"26342,35989,39660,41685,46014,51222"
160,nước cốt dừa,sữa dừa,coconut milk,6,Bánh Canh Cua | Bánh bò nướng làm bằng trứng vịt,SAME,Nước cốt dừa và sữa dừa thường dùng thay thế,"26738,32792,33807,38549,40711,47110"
162,gạo nếp,gạo,rice,6,"Cháo nấm chay thơm ngon, mát bổ (ngày 1) | MÓN LÀO: LARB MOO - SALAD THỊT BĂM LÀO 🇱🇦",SAME,Gạo nếp thuộc nhóm gạo,"27888,37869,41970,42112,44777,52990"
163,hành củ,Hành,Scallion,6,Thịt má heo rim củ cải muối | Canh cá bã trầu,SAME,Hành củ là hành,"28730,29640,29759,31373,36447,36933"
165,lá ngò,lá,leaves,6,Cá Ngừ Nấu Mẵng | Nấm Rơm Kho Đậu Hủ,SAME,Lá ngò là bộ phận lá của cây ngò,"32086,32113,36615,38792,40059,47964"
170,cải chua,dưa cải,pickled mustard greens,5,Cá Ồ Kho Chuối Cau | Thịt Nạc Heo Xào Cải Chua,SAME,Cải chua là một loại dưa cải,"7128,10372,11924,22232,44316"
176,dấm bỗng,dấm,vinegar,5,Lẩu Riêu Cua Đồng Bắp Bò Ngày Quốc Khánh 2/9 | Bún ốc bò,SAME,Dấm bỗng là một loại dấm đặc thù,"9439,29038,33263,36993,47168"
181,thịt bò băm,Thịt băm,Minced pork,5,Cháo thịt bò băm xào | Bò băm xào lá lốt,SAME,Thịt bò băm thuộc nhóm thịt băm,"12544,15390,15583,17289,18528"
182,ớt hiểm,ớt,chili pepper,5,Nấm rơm kho tiêu xanh chay | Cháo CÁ DÒ,SAME,Ớt hiểm là một loại ớt,"12810,22535,22656,27740,29687"
184,rau húng quế,quế,Cinnamon,5,Cơm thịt rang mắm ruốc và rau húng quế | Gỏi rau muống thịt luộc,SAME,Rau húng quế và quế (trong mapping) gây nhầm lẫn,"14974,29323,40676,42022,47605"
185,dâu ăn,dầu ăn,Vegetable Oil,5,Canh tôm và mộc nấu khổ qua | Canh chay rong biển đậu hủ nấm kim châm,SAME,Dầu ăn viết sai chính tả,"18678,29837,30839,31019,40840"
187,ậu phộng,đậu phộng,peanut,5,Gỏi khế trộn bò | Rau sam nộm,SAME,Đậu phộng viết thiếu chữ cái đầu,"20329,21316,29697,31695,42816"
189,Bột cà ri,Bột (chung),flour,5,Thịt xào hành tây cà ri | Chân nấm xào cà ri sả ớt,SAME,Bột cà ri thuộc nhóm bột gia vị,"21792,32510,43591,45545,46609"
190,xương ống heo,thịt heo,pork,5,SP.0829 - Súp Cua Ngô Vàng Tuyết Nhĩ | SP.0802 - Canh Xương Ống Heo Tiềm Tam Bảo,SAME,Xương ống heo thuộc nhóm thịt heo,"21893,24351,27559,28300,34574"
191,đậu trắng,hộp đậu trắng,canned white beans,5,"Gỏi chay : bắp cải tím, nấm đùi gà, đậu hũ | Chả đậu tôm thịt",SAME,Đậu trắng và hộp đậu trắng là một loại,"22167,28701,33593,46571,53600"
192,Bột chiên xù,Bột (chung),flour,5,Chả cá bọc trứng muối chiên xù | Cá chiên xù,SAME,Bột chiên xù thuộc nhóm bột chung,"22502,34394,39242,47010,62508"
193,nghệ,bột nghệ,turmeric powder,5,Cá chuồn chiên củ nén | Bún cá lóc nấu dễ - nhanh - ngon,SAME,Nghệ tươi thường được dùng làm bột nghệ,"22551,29279,29599,33448,41663"
194,bún tàu,bún,rice vermicelli,5,Cá Chẽm Hấp Kim Châm Xì Dầu | SP.0818 - Chả Cua Đút Lò,SAME,Bún tàu là một loại bún (miến),"22555,23040,25852,29415,34761"
197,Bánh đa,bánh tráng,rice paper,5,Mì Quảng tôm gà trứng | Mì Quảng tôm cua hấp dẫn,SAME,Bánh đa và bánh tráng thường gọi thay thế,"24804,24845,25023,30378,43992"
199,Gia vị nước hàng,gia vị,seasoning,5,"Cá ngân kho chuối xanh, cà chua | Cá mối kho măng, chuối xanh",SAME,Nước hàng dùng làm gia vị,"27114,50042,51008,54886,63961"
206,t tươi,thịt heo,pork,5,Ganjang Gejang- Cua ngâm tương | Lẩu cá thác lác,SAME,T tươi có thể hiểu là thịt tươi (thịt heo),"50480,50545,58208,58521,64093"
207,ngò rí,rau ngò rí,coriander leaves,4,Sườn Heo Hầm Đậu Đen | Canh Củ Dền Nấu Xương Heo,SAME,Cùng là một loại rau gia vị,"6053,16060,17741,42908"
210,thịt vai heo xay,thịt nạc dăm,pork shoulder,4,Thịt vai heo rim cà chua | Canh bắp cải nấu thịt vai heo xay,SAME,Thịt vai heo thường được gọi là nạc dăm,"7815,11025,11071,11134"
213,nấm sò nâu,nấm bào ngư,oyster mushroom,4,"Cháo nấm, tempeh | Đậu non, tempeh chiên sốt nấm kim châm",SAME,Nấm sò nâu và nấm bào ngư cùng họ nấm,"8555,11157,14417,17071"
215,giá sống,rau sống,fresh herbs,4,Canh gân bò nấu chua | Phở Bò Sài Gòn,SAME,Giá sống thuộc nhóm rau sống,"8572,10513,11075,15007"
217,Bạc hà,bạc hà,mint,4,Canh Chua Cá Nấu Lá Me | Canh chua lườn cá hồi,SAME,Cùng là một tên gọi,"9022,10685,18288,42290"
220,rễ mùi,rau mùi,coriander leaves,4,Lưỡi heo luộc | Thịt nách heo luộc,SAME,Rễ mùi là một phần của rau mùi,"9639,16822,16851,19169"
221,nấm đông cô khô,nấm hương,shiitake mushroom,4,Canh Đùi Gà Nấu Nấm Và Cải Bẹ Xanh | Ramen thịt heo đơn giản,SAME,Nấm đông cô và nấm hương là một,"11259,19351,19544,62194"
223,ngổ,rau om,rice paddy herb,4,Bò Xào Nấm Dưa Leo | Lẩu bò nhúng mẻ,SAME,Ngổ và rau om là tên gọi khác nhau,"12392,15633,40864,43115"
226,Khoai sọ,khoai môn,taro,4,Canh khoai sọ rau rút (nhút) | Canh hầm thịt gà với rau củ,SAME,Khoai sọ và khoai môn cùng một chi,"13361,35980,44934,53809"
227,nâm đông cô,nấm hương,shiitake mushroom,4,Mì Udon Gà Và Nấm Đông Cô | Cải thìa sốt nấm đông cô và sườn gà chay,SAME,Nấm đông cô và nấm hương là một,"14849,36318,37703,38124"
228,súp rau củ,viên súp rau củ,vegetable bouillon cube,4,Canh Cải Brussels Củ Dền Tôm Khô | 🌱 Canh Chua Nấm & Củ Hủ Kim Chi Chay,SAME,Súp rau củ thường ám chỉ dạng viên súp,"16101,36794,43859,47177"
229,Mắm,nước mắm,fish sauce,4,Sườn Heo Ram Me | Đầu Cá Thu Nấu Lá É,SAME,Mắm trong chế biến Việt Nam thường là nước mắm,"16277,27831,35518,61486"
