Bạn là chuyên gia ẩm thực Việt Nam.

Dưới đây là các cặp nguyên liệu. Mỗi cặp gồm:
- raw_name      : tên nguyên liệu thô (có thể viết tắt, lỗi chính tả nhỏ)
- mapped_to     : tên nguyên liệu chuẩn đang được gán

Câu hỏi: "raw_name" này và "mapped_to" có phải là 2 nguyên liệu THỰC SỰ KHÁC NHAU không?
Ví dụ: "hành lá" và "hành tím" → KHÁC NHAU thật sự
        "hành lá" và "hành lá tươi" → GIỐNG NHAU (chỉ là cách gọi khác)
        "hành" và "hành tím" → CÓ THỂ GIỐNG (hành thường = hành tím ở VN)

────────────────────────────────────────────────────────
pattern_id= 301 | raw="Nước đá" | mapped_to="nước" | dish="Rau muống ngâm chua"
pattern_id= 302 | raw="t tươi" | mapped_to="ớt" | dish="Măng Xào Hành Tây Rau Răm Chay"
pattern_id= 303 | raw="dầu hào chay" | mapped_to="dầu hào" | dish="Súp lơ xào nấm lộc nhung (món chay)"
pattern_id= 304 | raw="hành phi" | mapped_to="hành lá" | dish="Rau càng cua sốt dầu giấm"
pattern_id= 305 | raw="ớt xay" | mapped_to="ớt xanh" | dish="Bún BÒ xào Nam bộ"
pattern_id= 306 | raw="mộc nhĩ" | mapped_to="nấm mèo" | dish="Cải bắp cuộn tôm, thịt"
pattern_id= 307 | raw="t hiểm" | mapped_to="ớt hiểm" | dish="Cá bông lau kho sốt tiêu"
pattern_id= 308 | raw="bí đao" | mapped_to="bí xanh" | dish="Canh bí đao nấu cùng thịt xay"
pattern_id= 309 | raw="nước sôi" | mapped_to="nước" | dish="Cá Bạc Má Kho Hành Tăm"
pattern_id= 310 | raw="dầu dừa" | mapped_to="dừa" | dish="Pancake rau bina"
pattern_id= 311 | raw="Trứng" | mapped_to="Trứng gà" | dish="Mì Udon trộn Kim chi thịt băm🍜"
pattern_id= 312 | raw="thịt nạc vai heo" | mapped_to="thịt nạc dăm" | dish="Thịt heo nướng mắm ruốc"
pattern_id= 313 | raw="nấm linh chi nâu" | mapped_to="nấm linh chi" | dish="Canh cải thảo nấu nấm"
pattern_id= 314 | raw="Hành lá hành củ gia vị" | mapped_to="hành lá" | dish="Mì udon nấu cà chua, ớt chuông, nấm kim châm"
pattern_id= 315 | raw="thịt" | mapped_to="thịt heo" | dish="Khoai Tây Xào Thịt Ngẫu Hứng"
pattern_id= 316 | raw="Hành phi" | mapped_to="hành tỏi" | dish="Bún Riêu Cua Bắp Bò"
pattern_id= 317 | raw="thịt bò bằm" | mapped_to="Thịt băm" | dish="Rau Tiến Vua Xào Thịt Bò Bằm"
pattern_id= 318 | raw="mắm tỏi ớt" | mapped_to="nước mắm" | dish="Gỏi Sứa Rau Muống"
pattern_id= 319 | raw="sò gấc" | mapped_to="sò" | dish="Cháo sò gấc nấm 🍄‍🟫 rong biển"
pattern_id= 320 | raw="rượu vang trắng" | mapped_to="rượu" | dish="Cánh Gà Nấu Rượu Vang, Sốt Cà Chua Và Rau Củ"
pattern_id= 321 | raw="rau húng quế" | mapped_to="rau húng chó" | dish="Phở Sườn Bò"
pattern_id= 322 | raw="vừng" | mapped_to="dầu vừng" | dish="Thịt chiên vừng"
pattern_id= 323 | raw="bơ đậu phộng" | mapped_to="đậu phộng" | dish="SP.0912 - Ba Rọi Heo Hồng Xíu"
pattern_id= 324 | raw="cua lột" | mapped_to="cua" | dish="Cua Lột Chiên Bột"
pattern_id= 325 | raw="dầu hạt lanh" | mapped_to="dầu hạt nho" | dish="Salad Rau Diếp Xoăn, Bắp Cải Tím & Ức Gà Áp Chảo"
pattern_id= 326 | raw="Nước hầm xương" | mapped_to="nước" | dish="Bánh canh chả cá"
