pattern_id,raw_name,wrong_name,wrong_en,row_count,dish_examples,verdict,reason,row_ids
1,nước tương,nước,water,203,Tôm rim bơ tỏi | Cơm Chiên Gà Rau Củ,DIFFERENT,Nước tương và nước lọc là hai loại lỏng khác nhau,"20933,20946,20979,21145,21436,21481,21523,21563,21594,21633,21660,21889,22557,22830,22946,22969,23058,23109,23340,23767,23946,23974,24441,24457,25075,25378,26849,27123,27344,27819,27934,28296,28342,28535,28639,28721,29072,29165,29254,29492,29798,29823,29864,30098,30153,30167,30256,30345,30486,30504,31057,31077,31125,31155,31204,31307,31394,31455,31474,31548,31595,31645,31660,31716,31751,32091,32244,32322,32779,32850,32884,33065,33073,33154,33195,33255,33273,33431,33493,33689,33734,33930,33967,34029,34808,35270,35387,35480,35501,35512,35595,35695,35871,36815,36938,37019,37318,37381,37389,37512,37602,37634,37650,37813,38014,38086,38094,38315,38461,38618,38867,39037,39210,39238,39365,39385,39528,39551,40264,40634,40798,40804,41348,41388,42077,42149,42186,42263,42314,42436,42526,42665,42807,44709,46158,46466,46490,46549,46979,47339,47430,47501,47574,47821,47909,47917,48032,50083,51067,51112,51196,51242,51511,52871,52901,53196,53232,53550,53567,53625,53726,53815,53831,53843,54126,54302,54576,58495,60229,60892,60907,60913,60932,60998,61008,61077,61621,61652,61768,62028,62177,62185,62275,62319,62418,62441,62590,62876,62900,62925,63040,63274,63379,63486,63517,63664,63721,63765,63843,63915,63951,64100,64130"
2,nước,nước dừa,coconut water,150,"Hải sản Phú Quý hấp: mực ống, cua gạo, cua mặt trăng và nhum tươi | Mỳ trộn tôm thịt sốt cà",DIFFERENT,Nước lọc và nước dừa có bản chất khác nhau,"20864,21031,21399,21462,21583,21615,21623,21904,22086,24361,25143,25247,25265,25454,25828,26414,26438,26995,27269,27379,27531,27685,27886,28019,28038,28280,28496,29059,29169,29250,29537,29554,30002,30039,30725,30773,31137,31168,31295,31696,31923,32260,32366,32547,32555,32565,32898,33037,33823,33858,33873,34084,34300,34363,34741,34774,34811,34943,35007,35018,35130,35191,35416,35573,35744,36079,36194,36242,36823,36877,37462,37654,38524,38753,38841,38909,39322,39353,39371,39772,39844,39931,40595,40604,40992,41084,41269,41273,41833,42097,42123,42439,42466,42499,42669,42974,43164,43459,44275,44583,44600,44672,45047,45366,45472,45486,45535,45639,45784,46256,46302,46433,46808,47364,47715,47830,48184,49307,49964,50917,51610,52921,52972,53313,53360,53792,53959,54032,54104,54351,61097,61102,61411,61476,61669,61881,62019,62486,62550,62605,62947,63124,63296,63447,63748,63780,63862,63886,64152,64418"
3,Nước tương,nước,water,91,Miến xào tôm thịt | Bí Nụ Xào Nấm Hoàng Kim Chay,DIFFERENT,Nước tương và nước lọc không cùng loại,"23047,24514,24617,24965,25243,25316,25438,25916,26024,26239,26318,26352,26642,27423,27450,27466,27471,27480,27863,27929,28089,28250,28287,28805,29089,29962,30329,30639,31528,31601,31702,31746,31823,31833,32022,32253,32558,32660,33054,33548,33712,33856,34095,34164,34373,34437,34451,34495,34856,35102,35690,36043,36313,36564,36631,36705,36727,36840,36953,37179,37416,37489,37578,37595,38145,38354,39641,39981,41776,42403,42534,43124,43268,44235,45291,45651,46835,47063,47260,50953,51444,51487,53846,60956,61352,61846,62399,63901,64006,64588,64646"
4,dầu mè,Mè (Vừng),sesame seeds,80,Mì Đuôi Heo Hầm Ngũ Trân | Mì Nấu Rau Muống Tóp Mỡ,DIFFERENT,"Dầu mè là chất béo, mè là hạt nguyên bản","21104,21222,21249,21524,21659,21708,21905,22475,22919,23043,23145,23296,23976,24098,24188,24496,24502,25836,26856,29100,29328,30258,31741,32185,32540,33068,33100,33840,33965,34047,34056,34255,35672,35747,35797,37021,37167,37210,37685,38205,38308,39545,39560,40495,40806,41520,41737,41778,42012,42151,42316,42919,43673,44865,46492,46981,47740,47998,48169,49919,49945,50170,54057,54372,54531,54554,54568,58496,59463,61278,61405,62179,62356,62803,62901,63047,63458,63796,64417,64492"
6,thơm,rau thơm,herbs,54,"Canh Chua Chả Cá Hố, Rau Sam, Bông Giờ | Salad ớt chuông thịt bò",DIFFERENT,"Thơm (dứa) là trái cây, rau thơm là rau gia vị","15987,19818,20894,20971,21355,21953,22328,22351,22390,23349,23564,23904,24688,24781,25226,25416,25799,25812,25990,26101,27198,27432,27951,28788,28823,28863,28959,29994,30043,30466,30782,31118,32864,34328,35950,36558,37323,37987,38110,40859,41000,41750,42292,46973,60970,60989,61123,61525,61544,62130,62329,62828,62962,64204"
9,bột nghệ,Bột (chung),flour,41,Bí ngòi nhồi thịt bò bỏ lò | SP.0823 - Cá Basa Nướng Muối Sả Nghệ,DIFFERENT,"Bột nghệ là gia vị, bột chung quá mơ hồ","21980,22316,22647,24630,25002,27764,28218,29862,30210,31546,32031,32460,32537,32860,33232,33817,35117,35189,35567,36588,37002,38172,38597,40920,41039,41336,41938,43356,46539,47743,49331,49981,50892,51514,53710,58498,61653,61679,62801,62994,64109"
10,củ cà rốt,bã củ cà rốt,carrot pulp,38,Chả giò hải sản sốt mayo | Mực xào rau củ xốt chua cay,DIFFERENT,Củ tươi và bã sau khi ép là khác nhau,"6019,6079,6354,6506,6604,7407,8182,8937,9045,12036,13230,13237,13371,13426,13454,14582,14710,16704,17206,18049,18052,18143,18406,19630,19636,19672,19703,19865,19966,19989,19993,20132,20500,20555,20567,20637,20756,20798"
11,tương ớt,ớt,chili pepper,37,Tôm rim bơ tỏi | Đậu bắp hấp sốt thịt bằm,DIFFERENT,"Tương ớt là sốt chế biến, ớt là quả tươi","20934,22162,22999,24143,24786,26674,28307,29013,29025,29650,30060,30522,30570,30825,31661,32230,32385,32778,32933,33056,35006,35369,35438,35727,35783,38619,45360,45864,50095,53557,54498,54525,61731,61780,61807,62420,63009"
13,bột canh,Bột (chung),flour,33,Mực Trứng Hấp Gừng | Cá nục một nắng,DIFFERENT,"Bột canh là gia vị mặn, không phải bột nền","21204,21986,22434,26287,26309,27167,27666,28707,29237,29396,30010,30441,30568,31620,32178,33156,33352,33371,33685,33698,33772,34136,34318,34507,37823,39082,45356,45499,46332,46624,46967,62305,63924"
14,cải trắng,cải thảo,napa cabbage,31,Bún rau củ chay | Gỏi Cuốn Thịt Xá Xíu & Hoa Sen Cạn,DIFFERENT,Cải trắng (củ cải) khác hoàn toàn cải thảo,"8293,10126,22955,23935,27735,28021,28301,30157,31840,32209,33484,34132,34635,37610,38673,38946,39103,39111,39118,39709,39855,41749,41798,43137,43206,44286,45092,45397,46860,47263,48165"
15,Nước,nước dừa,coconut water,31,Bánh Xèo Bò Trứng | Canh Cá nấu dưa,DIFFERENT,Nước và nước dừa là hai thành phần khác nhau,"25503,27030,28365,29294,29855,29970,30497,36121,37063,38360,38887,42685,43083,43804,44013,49891,53123,53257,54236,54293,63890,64249,64297,64356,64368,64386,64427,64474,64501,64551,64635"
