Bạn là chuyên gia ẩm thực Việt Nam.

Dưới đây là các cặp nguyên liệu. Mỗi cặp gồm:
- raw_name      : tên nguyên liệu thô (có thể viết tắt, lỗi chính tả nhỏ)
- mapped_to     : tên nguyên liệu chuẩn đang được gán

Câu hỏi: "raw_name" này và "mapped_to" có phải là 2 nguyên liệu THỰC SỰ KHÁC NHAU không?
Ví dụ: "hành lá" và "hành tím" → KHÁC NHAU thật sự
        "hành lá" và "hành lá tươi" → GIỐNG NHAU (chỉ là cách gọi khác)
        "hành" và "hành tím" → CÓ THỂ GIỐNG (hành thường = hành tím ở VN)

────────────────────────────────────────────────────────
pattern_id=1901 | raw="cá phèn hồng" | mapped_to="cá hồng" | dish="Cá phèn hồng chiên"
pattern_id=1902 | raw="Tôm thịt nạc rang" | mapped_to="ram tôm" | dish="Cơm Tôm Thịt Nạc Rang & Rau Luộc Eat Clean"
pattern_id=1903 | raw="Giá đỗ bắp cải tim luộc" | mapped_to="bắp cải" | dish="Cơm Tôm Thịt Nạc Rang & Rau Luộc Eat Clean"
pattern_id=1904 | raw="Xà lách cà rốt bắp cải tím" | mapped_to="cà rốt" | dish="Bún Trộn Tôm & Thịt Nạc Eat Clean"
pattern_id=1905 | raw="Mì chũ rau củ vắt" | mapped_to="lá mì" | dish="Mì Chũ Xào Bò"
pattern_id=1906 | raw="chao môn" | mapped_to="khoai môn" | dish="SP.0760 - Khô Thịt Chay"
pattern_id=1907 | raw="Lá quế" | mapped_to="lá" | dish="🌱 Phở Chay Nấm Đậu Phụ (Vegan)"
pattern_id=1908 | raw="Nước phở chay" | mapped_to="chay" | dish="🌱 Phở Chay Nấm Đậu Phụ (Vegan)"
pattern_id=1909 | raw="Tương hột đậu nành" | mapped_to="đậu nành" | dish="Nấm đùi gà xiên nướng"
pattern_id=1910 | raw="Thịt heo bằm trứng gà" | mapped_to="Trứng gà" | dish="Mì trộn thịt heo bằm, trứng ốp la"
pattern_id=1911 | raw="Cải ngọt cải thìa cải thảo bắp cải" | mapped_to="cải thảo" | dish="Mì trộn thịt heo bằm, trứng ốp la"
pattern_id=1912 | raw="mì chũ gr" | mapped_to="mì" | dish="🌱 Mì Chũ Xào Rau Củ Chay (Vegan)"
pattern_id=1913 | raw="Nước tương tamari" | mapped_to="nước" | dish="🌱 Mì Chũ Xào Rau Củ Chay (Vegan)"
pattern_id=1914 | raw="trứng non" | mapped_to="Trứng gà" | dish="Mì Chũ trứng non cá viên"
pattern_id=1915 | raw="lá húng quế trắng còn gọi là lá é trắng" | mapped_to="rau basil" | dish="Nấm Linh Chi Xào Húng Quế Trắng"
pattern_id=1916 | raw="Bắp cải cà rốt nấm bào ngư nấm mèo" | mapped_to="nấm mèo" | dish="Há cảo rau củ"
pattern_id=1917 | raw="Hành lá bột nêmtiêuđường" | mapped_to="hành lá" | dish="Há cảo rau củ"
pattern_id=1918 | raw="Nước tương tỏiớt" | mapped_to="nước" | dish="Há cảo rau củ"
pattern_id=1919 | raw="Ngồng tỏi" | mapped_to="tỏi" | dish="Ngồng tỏi xào thịt bò"
pattern_id=1920 | raw="cần xào" | mapped_to="cần tây" | dish="Tim heo xào thơm ^^"
pattern_id=1921 | raw="Hành lá hành khô mùi tàu gừng" | mapped_to="hành lá" | dish="Mì Chũ nấu xương đuôi heo"
pattern_id=1922 | raw="lòng gà tim gan mề" | mapped_to="tim gà" | dish="Nấm xào tim gan mề gà"
pattern_id=1923 | raw="Ruột heo chay" | mapped_to="sườn chay" | dish="Ruột heo chay khìa nước dừa"
pattern_id=1924 | raw="mắm nên" | mapped_to="nước mắm" | dish="Thịt Ba Chỉ Luộc Chấm Mắm Nêm"
