pattern_id,raw_name,wrong_name,wrong_en,correct_name,confidence,note,row_count,dish_examples,status,source_file,row_ids
1,nước tương,nước,water,Nước tương,high,,203,Tôm rim bơ tỏi | Cơm Chiên Gà Rau Củ | Filet Cá Ba Sa Kho Xoài Sấy Dẻo,HAS_FIX,1 copy 41.json,"20933,20946,20979,21145,21436,21481,21523,21563,21594,21633,21660,21889,22557,22830,22946,22969,23058,23109,23340,23767,23946,23974,24441,24457,25075,25378,26849,27123,27344,27819,27934,28296,28342,28535,28639,28721,29072,29165,29254,29492,29798,29823,29864,30098,30153,30167,30256,30345,30486,30504,31057,31077,31125,31155,31204,31307,31394,31455,31474,31548,31595,31645,31660,31716,31751,32091,32244,32322,32779,32850,32884,33065,33073,33154,33195,33255,33273,33431,33493,33689,33734,33930,33967,34029,34808,35270,35387,35480,35501,35512,35595,35695,35871,36815,36938,37019,37318,37381,37389,37512,37602,37634,37650,37813,38014,38086,38094,38315,38461,38618,38867,39037,39210,39238,39365,39385,39528,39551,40264,40634,40798,40804,41348,41388,42077,42149,42186,42263,42314,42436,42526,42665,42807,44709,46158,46466,46490,46549,46979,47339,47430,47501,47574,47821,47909,47917,48032,50083,51067,51112,51196,51242,51511,52871,52901,53196,53232,53550,53567,53625,53726,53815,53831,53843,54126,54302,54576,58495,60229,60892,60907,60913,60932,60998,61008,61077,61621,61652,61768,62028,62177,62185,62275,62319,62418,62441,62590,62876,62900,62925,63040,63274,63379,63486,63517,63664,63721,63765,63843,63915,63951,64100,64130"
2,nước,nước dừa,coconut water,Nước,high,Nước dùng để hấp hải sản,150,"Hải sản Phú Quý hấp: mực ống, cua gạo, cua mặt trăng và nhum tươi | Mỳ trộn tôm thịt sốt cà | Canh khổ qua nhồi cá thác lác",HAS_FIX,1 copy 41.json,"20864,21031,21399,21462,21583,21615,21623,21904,22086,24361,25143,25247,25265,25454,25828,26414,26438,26995,27269,27379,27531,27685,27886,28019,28038,28280,28496,29059,29169,29250,29537,29554,30002,30039,30725,30773,31137,31168,31295,31696,31923,32260,32366,32547,32555,32565,32898,33037,33823,33858,33873,34084,34300,34363,34741,34774,34811,34943,35007,35018,35130,35191,35416,35573,35744,36079,36194,36242,36823,36877,37462,37654,38524,38753,38841,38909,39322,39353,39371,39772,39844,39931,40595,40604,40992,41084,41269,41273,41833,42097,42123,42439,42466,42499,42669,42974,43164,43459,44275,44583,44600,44672,45047,45366,45472,45486,45535,45639,45784,46256,46302,46433,46808,47364,47715,47830,48184,49307,49964,50917,51610,52921,52972,53313,53360,53792,53959,54032,54104,54351,61097,61102,61411,61476,61669,61881,62019,62486,62550,62605,62947,63124,63296,63447,63748,63780,63862,63886,64152,64418"
3,Nước tương,nước,water,Nước tương,high,,91,Miến xào tôm thịt | Bí Nụ Xào Nấm Hoàng Kim Chay | Bún Gạo Xào Tim Heo,HAS_FIX,1 copy 41.json,"23047,24514,24617,24965,25243,25316,25438,25916,26024,26239,26318,26352,26642,27423,27450,27466,27471,27480,27863,27929,28089,28250,28287,28805,29089,29962,30329,30639,31528,31601,31702,31746,31823,31833,32022,32253,32558,32660,33054,33548,33712,33856,34095,34164,34373,34437,34451,34495,34856,35102,35690,36043,36313,36564,36631,36705,36727,36840,36953,37179,37416,37489,37578,37595,38145,38354,39641,39981,41776,42403,42534,43124,43268,44235,45291,45651,46835,47063,47260,50953,51444,51487,53846,60956,61352,61846,62399,63901,64006,64588,64646"
4,dầu mè,Mè (Vừng),sesame seeds,Dầu mè,high,,80,Mì Đuôi Heo Hầm Ngũ Trân | Mì Nấu Rau Muống Tóp Mỡ | Rau giá trộn lá kim,HAS_FIX,1 copy 41.json,"21104,21222,21249,21524,21659,21708,21905,22475,22919,23043,23145,23296,23976,24098,24188,24496,24502,25836,26856,29100,29328,30258,31741,32185,32540,33068,33100,33840,33965,34047,34056,34255,35672,35747,35797,37021,37167,37210,37685,38205,38308,39545,39560,40495,40806,41520,41737,41778,42012,42151,42316,42919,43673,44865,46492,46981,47740,47998,48169,49919,49945,50170,54057,54372,54531,54554,54568,58496,59463,61278,61405,62179,62356,62803,62901,63047,63458,63796,64417,64492"
5,hành,hành lá,green onion,Hành tím,high,"Giả cầy dùng hành tím, không dùng hành lá",79,Thịt bắp giò (đùi heo) nấu giả cầy | Cá chim kho cà chua | Cơm thịt nướng chả trứng,HAS_FIX,1 copy 41.json,"6627,8288,8636,8653,8863,9844,10335,10359,10729,10933,10991,11225,12828,12920,13056,13720,13941,14095,14415,15035,15756,16187,16770,17435,17437,17513,19176,19303,19454,21991,22361,22567,26700,27213,28783,29007,30193,31146,31232,32175,32799,33218,33331,33452,33512,33799,33804,34446,34650,34656,35225,35317,35789,36012,36202,36405,36836,36941,37297,37433,38118,38381,38468,38687,39060,39248,39488,40098,41334,42191,42376,43095,45343,45826,46073,46157,46173,46394,48053"
6,thơm,rau thơm,herbs,Dứa (Thơm),high,,54,"Canh Chua Chả Cá Hố, Rau Sam, Bông Giờ | Salad ớt chuông thịt bò | Tôm sốt trái thơm (dứa)",HAS_FIX,1 copy 41.json,"15987,19818,20894,20971,21355,21953,22328,22351,22390,23349,23564,23904,24688,24781,25226,25416,25799,25812,25990,26101,27198,27432,27951,28788,28823,28863,28959,29994,30043,30466,30782,31118,32864,34328,35950,36558,37323,37987,38110,40859,41000,41750,42292,46973,60970,60989,61123,61525,61544,62130,62329,62828,62962,64204"
7,ớt chuông,ớt,chili pepper,Ớt chuông,high,,50,Ớt chuông nhồi thịt sốt dầu hào | Mực mai xào ớt chuông | Thịt công xào sả ớt,HAS_FIX,1 copy 41.json,"22132,23069,23897,24383,25068,25414,25953,27009,27175,27986,28059,28176,28245,28512,29030,29404,30243,31282,31725,32584,33199,34773,35896,37350,38092,41812,41837,43198,43239,43608,43843,43919,44100,44155,44366,44393,44452,45494,50699,50907,50922,52940,53088,53899,60411,61153,61238,61322,61532,62978"
8,tôm,tôm thẻ loại to,shrimp,Tôm,high,,42,Bánh xèo nhân tôm | Canh chua bông điên điển ngó sen nấu cùng tôm mực | Tôm hấp tàu hũ trắng sauce nước tương,HAS_FIX,1 copy 41.json,"8933,9111,9973,10251,13111,13619,14178,16442,17270,17607,17942,18570,18836,20534,20670,23244,25036,25051,25133,25261,25383,25860,26955,27086,27267,31851,32382,33221,34079,34579,35784,35910,38519,38686,39691,40099,42005,43522,44179,45637,46022,47655"
9,bột nghệ,Bột (chung),flour,Bột nghệ,high,,41,Bí ngòi nhồi thịt bò bỏ lò | SP.0823 - Cá Basa Nướng Muối Sả Nghệ | Thịt chiên nghệ vàng giòn,HAS_FIX,1 copy 41.json,"21980,22316,22647,24630,25002,27764,28218,29862,30210,31546,32031,32460,32537,32860,33232,33817,35117,35189,35567,36588,37002,38172,38597,40920,41039,41336,41938,43356,46539,47743,49331,49981,50892,51514,53710,58498,61653,61679,62801,62994,64109"
10,củ cà rốt,bã củ cà rốt,carrot pulp,Cà rốt,high,,38,Chả giò hải sản sốt mayo | Mực xào rau củ xốt chua cay | Dưa Rau Muống Củ Hũ Dừa Chua Ngọt,HAS_FIX,1 copy 41.json,"6019,6079,6354,6506,6604,7407,8182,8937,9045,12036,13230,13237,13371,13426,13454,14582,14710,16704,17206,18049,18052,18143,18406,19630,19636,19672,19703,19865,19966,19989,19993,20132,20500,20555,20567,20637,20756,20798"
11,tương ớt,ớt,chili pepper,Tương ớt,high,,37,Tôm rim bơ tỏi | Đậu bắp hấp sốt thịt bằm | SP.0819 - Mực Xào Dưa Leo,HAS_FIX,1 copy 41.json,"20934,22162,22999,24143,24786,26674,28307,29013,29025,29650,30060,30522,30570,30825,31661,32230,32385,32778,32933,33056,35006,35369,35438,35727,35783,38619,45360,45864,50095,53557,54498,54525,61731,61780,61807,62420,63009"
12,sữa đặc,sữa,milk,Sữa đặc,high,,33,Chả giò hải sản sốt mayo | TÔM sốt dứa-mayonnaise | Thịt ba chỉ nướng NCKD,HAS_FIX,1 copy 41.json,"6031,6438,7166,7474,7687,9692,9840,10087,10218,11027,11186,14764,17079,18926,19978,20898,22087,23989,28282,30571,31877,32570,33669,35375,36153,38049,39424,40582,41901,42196,42805,42977,43456"
